motif	tf	dbd_family
Arnt_MA0004.1	Arnt	NAN
Ahr+Arnt_MA0006.1	Ahr+Arnt	NAN
Ddit3+Cebpa_MA0019.1	Ddit3+Cebpa	NAN
NFIL3_MA0025.1	NFIL3	NAN
Mecom_MA0029.1	Mecom	NAN
FOXF2_MA0030.1	FOXF2	NAN
FOXD1_MA0031.1	FOXD1	NAN
Gfi1_MA0038.1	Gfi1	NAN
Foxq1_MA0040.1	Foxq1	NAN
Foxd3_MA0041.1	Foxd3	NAN
IRF2_MA0051.1	IRF2	NAN
MZF1_MA0056.1	MZF1	NAN
MZF1_MA0057.1	MZF1	NAN
MAX+MYC_MA0059.1	MAX+MYC	NAN
Nkx2-5_MA0063.1	Nkx2-5	NAN
PPARG_MA0066.1	PPARG	NAN
Pax2_MA0067.1	Pax2	NAN
Pax6_MA0069.1	Pax6	NAN
PBX1_MA0070.1	PBX1	NAN
RORA_MA0071.1	RORA	NAN
RORA_MA0072.1	RORA	NAN
RREB1_MA0073.1	RREB1	NAN
RXRA+VDR_MA0074.1	RXRA+VDR	NAN
SOX9_MA0077.1	SOX9	NAN
Sox17_MA0078.1	Sox17	NAN
SPIB_MA0081.1	SPIB	NAN
SRY_MA0084.1	SRY	NAN
Sox5_MA0087.1	Sox5	NAN
MAFG+NFE2L1_MA0089.1	MAFG+NFE2L1	NAN
TAL1+TCF3_MA0091.1	TAL1+TCF3	NAN
Hand1+Tcf3_MA0092.1	Hand1+Tcf3	NAN
REL_MA0101.1	REL	NAN
RELA_MA0107.1	RELA	NAN
TBP_MA0108.2	TBP	NAN
HLTF_MA0109.1	HLTF	NAN
Spz1_MA0111.1	Spz1	NAN
NR1H2+RXRA_MA0115.1	NR1H2+RXRA	NAN
Znf423_MA0116.1	Znf423	NAN
NFIC+TLX1_MA0119.1	NFIC+TLX1	NAN
Nobox_MA0125.1	Nobox	NAN
ZNF354C_MA0130.1	ZNF354C	NAN
Lhx3_MA0135.1	Lhx3	NAN
CTCF_MA0139.1	CTCF	NAN
Pou5f1+Sox2_MA0142.1	Pou5f1+Sox2	NAN
EWSR1-FLI1_MA0149.1	EWSR1-FLI1	NAN
Gabpa_MA0062.2	Gabpa	NAN
REST_MA0138.2	REST	NAN
RUNX1_MA0002.2	RUNX1	NAN
Foxa2_MA0047.2	Foxa2	NAN
Pparg+Rxra_MA0065.2	Pparg+Rxra	NAN
Arid3a_MA0151.1	Arid3a	NAN
NFATC2_MA0152.1	NFATC2	NAN
INSM1_MA0155.1	INSM1	NAN
HOXA5_MA0158.1	HOXA5	NAN
RARA+RXRA_MA0159.1	RARA+RXRA	NAN
NR4A2_MA0160.1	NR4A2	NAN
PLAG1_MA0163.1	PLAG1	NAN
Nr2e3_MA0164.1	Nr2e3	NAN
ARNT+HIF1A_MA0259.1	ARNT+HIF1A	NAN
Zfx_MA0146.2	Zfx	NAN
Stat5a+Stat5b_MA0519.1	Stat5a+Stat5b	NAN
Stat4_MA0518.1	Stat4	NAN
STAT1+STAT2_MA0517.1	STAT1+STAT2	NAN
SP2_MA0516.1	SP2	NAN
Sox6_MA0515.1	Sox6	NAN
Sox3_MA0514.1	Sox3	NAN
SMAD2+SMAD3+SMAD4_MA0513.1	SMAD2+SMAD3+SMAD4	NAN
Rfx1_MA0509.1	Rfx1	NAN
POU2F2_MA0507.1	POU2F2	NAN
NRF1_MA0506.1	NRF1	NAN
Nr5a2_MA0505.1	Nr5a2	NAN
NR2C2_MA0504.1	NR2C2	NAN
Nkx2-5_MA0503.1	Nkx2-5	NAN
NFYB_MA0502.1	NFYB	NAN
MAF+NFE2_MA0501.1	MAF+NFE2	NAN
Myog_MA0500.1	Myog	NAN
Myod1_MA0499.1	Myod1	NAN
MEF2C_MA0497.1	MEF2C	NAN
Nr1h3+Rxra_MA0494.1	Nr1h3+Rxra	NAN
Klf1_MA0493.1	Klf1	NAN
JUND_MA0492.1	JUND	NAN
JUND_MA0491.1	JUND	NAN
JUNB_MA0490.1	JUNB	NAN
JUN_MA0489.1	JUN	NAN
JUN_MA0488.1	JUN	NAN
Hoxc9_MA0485.1	Hoxc9	NAN
HNF4G_MA0484.1	HNF4G	NAN
Gfi1b_MA0483.1	Gfi1b	NAN
Gata4_MA0482.1	Gata4	NAN
Foxo1_MA0480.1	Foxo1	NAN
FOXH1_MA0479.1	FOXH1	NAN
FOSL2_MA0478.1	FOSL2	NAN
FOSL1_MA0477.1	FOSL1	NAN
FOS_MA0476.1	FOS	NAN
E2F6_MA0471.1	E2F6	NAN
E2F4_MA0470.1	E2F4	NAN
DUX4_MA0468.1	DUX4	NAN
Crx_MA0467.1	Crx	NAN
CDX2_MA0465.1	CDX2	NAN
Bcl6_MA0463.1	Bcl6	NAN
BATF+JUN_MA0462.1	BATF+JUN	NAN
Stat6_MA0520.1	Stat6	NAN
Tcf12_MA0521.1	Tcf12	NAN
TCF7L2_MA0523.1	TCF7L2	NAN
ZBTB33_MA0527.1	ZBTB33	NAN
ZNF263_MA0528.1	ZNF263	NAN
CEBPA_MA0102.3	CEBPA	NAN
ELK4_MA0076.2	ELK4	NAN
ESR2_MA0258.2	ESR2	NAN
FOXA1_MA0148.3	FOXA1	NAN
Gata1_MA0035.3	Gata1	NAN
IRF1_MA0050.2	IRF1	NAN
Nfe2l2_MA0150.2	Nfe2l2	NAN
Sox2_MA0143.3	Sox2	NAN
SP1_MA0079.3	SP1	NAN
STAT1_MA0137.3	STAT1	NAN
STAT3_MA0144.2	STAT3	NAN
GATA1+TAL1_MA0140.2	GATA1+TAL1	NAN
USF1_MA0093.2	USF1	NAN
YY1_MA0095.2	YY1	NAN
Bach1+Mafk_MA0591.1	Bach1+Mafk	NAN
FOXP2_MA0593.1	FOXP2	NAN
Hoxa9_MA0594.1	Hoxa9	NAN
SREBF1_MA0595.1	SREBF1	NAN
SREBF2_MA0596.1	SREBF2	NAN
THAP1_MA0597.1	THAP1	NAN
KLF5_MA0599.1	KLF5	NAN
Arid3b_MA0601.1	Arid3b	NAN
Arid5a_MA0602.1	Arid5a	NAN
Arntl_MA0603.1	Arntl	NAN
Atf1_MA0604.1	Atf1	NAN
Atf3_MA0605.1	Atf3	NAN
NFAT5_MA0606.1	NFAT5	NAN
Bhlha15_MA0607.1	Bhlha15	NAN
Creb3l2_MA0608.1	Creb3l2	NAN
Crem_MA0609.1	Crem	NAN
DMRT3_MA0610.1	DMRT3	NAN
Dux_MA0611.1	Dux	NAN
EMX1_MA0612.1	EMX1	NAN
FOXG1_MA0613.1	FOXG1	NAN
Foxj2_MA0614.1	Foxj2	NAN
Gmeb1_MA0615.1	Gmeb1	NAN
Hes1_MA1099.1	Hes1	NAN
Hes2_MA0616.1	Hes2	NAN
Id2_MA0617.1	Id2	NAN
LBX1_MA0618.1	LBX1	NAN
LIN54_MA0619.1	LIN54	NAN
mix-a_MA0621.1	mix-a	NAN
Mlxip_MA0622.1	Mlxip	NAN
Neurog1_MA0623.1	Neurog1	NAN
NFATC1_MA0624.1	NFATC1	NAN
NFATC3_MA0625.1	NFATC3	NAN
Npas2_MA0626.1	Npas2	NAN
Pou2f3_MA0627.1	Pou2f3	NAN
POU6F1_MA0628.1	POU6F1	NAN
Rhox11_MA0629.1	Rhox11	NAN
SHOX_MA0630.1	SHOX	NAN
Six3_MA0631.1	Six3	NAN
Tcfl5_MA0632.1	Tcfl5	NAN
Twist2_MA0633.1	Twist2	NAN
ALX3_MA0634.1	ALX3	NAN
Ar_MA0007.3	Ar	NAN
BARHL2_MA0635.1	BARHL2	NAN
BHLHE41_MA0636.1	BHLHE41	NAN
CENPB_MA0637.1	CENPB	NAN
CREB3_MA0638.1	CREB3	NAN
DBP_MA0639.1	DBP	NAN
EBF1_MA0154.3	EBF1	NAN
EHF_MA0598.2	EHF	NAN
ELF3_MA0640.1	ELF3	NAN
ELF4_MA0641.1	ELF4	NAN
ELF5_MA0136.2	ELF5	NAN
EN1_MA0027.2	EN1	NAN
EN2_MA0642.1	EN2	NAN
Esrrg_MA0643.1	Esrrg	NAN
ESX1_MA0644.1	ESX1	NAN
ETV6_MA0645.1	ETV6	NAN
FLI1_MA0475.2	FLI1	NAN
FOXI1_MA0042.2	FOXI1	NAN
FOXL1_MA0033.2	FOXL1	NAN
FOXO3_MA0157.2	FOXO3	NAN
GCM1_MA0646.1	GCM1	NAN
GRHL1_MA0647.1	GRHL1	NAN
GSC_MA0648.1	GSC	NAN
HEY2_MA0649.1	HEY2	NAN
HINFP_MA0131.2	HINFP	NAN
HLF_MA0043.2	HLF	NAN
HNF1A_MA0046.2	HNF1A	NAN
HNF1B_MA0153.2	HNF1B	NAN
HOXA13_MA0650.1	HOXA13	NAN
HOXC11_MA0651.1	HOXC11	NAN
HSF1_MA0486.2	HSF1	NAN
IRF8_MA0652.1	IRF8	NAN
IRF9_MA0653.1	IRF9	NAN
ISX_MA0654.1	ISX	NAN
JDP2_MA0655.1	JDP2	NAN
JDP2_MA0656.1	JDP2	NAN
KLF13_MA0657.1	KLF13	NAN
LHX6_MA0658.1	LHX6	NAN
MAFG_MA0659.1	MAFG	NAN
MEF2B_MA0660.1	MEF2B	NAN
MEOX1_MA0661.1	MEOX1	NAN
MIXL1_MA0662.1	MIXL1	NAN
MLX_MA0663.1	MLX	NAN
MLXIPL_MA0664.1	MLXIPL	NAN
MSC_MA0665.1	MSC	NAN
MSX1_MA0666.1	MSX1	NAN
MYF6_MA0667.1	MYF6	NAN
NEUROD2_MA0668.1	NEUROD2	NAN
NEUROG2_MA0669.1	NEUROG2	NAN
NFIA_MA0670.1	NFIA	NAN
NFIX_MA0671.1	NFIX	NAN
NHLH1_MA0048.2	NHLH1	NAN
