motif	tf	dbd_family
BCL6B_C2H2_1	BCL6B	C2H2
CTCF_C2H2_1	CTCF	C2H2
EGR1_C2H2_1	EGR1	C2H2
EGR1_C2H2_2	EGR1	C2H2
EGR2_C2H2_1	EGR2	C2H2
EGR2_C2H2_2	EGR2	C2H2
EGR3_C2H2_1	EGR3	C2H2
EGR4_C2H2_1	EGR4	C2H2
Egr3.mouse_C2H2_1	Egr3.mouse	C2H2
GLI2_C2H2_1	GLI2	C2H2
GLI2_C2H2_2	GLI2	C2H2
GLIS1_C2H2_1	GLIS1	C2H2
GLIS2_C2H2_1	GLIS2	C2H2
GLIS3_C2H2_1	GLIS3	C2H2
HIC2_C2H2_1	HIC2	C2H2
HINFP1_C2H2_1	HINFP1	C2H2
HINFP1_C2H2_2	HINFP1	C2H2
HINFP1_C2H2_3	HINFP1	C2H2
Hic1.mouse_C2H2_1	Hic1.mouse	C2H2
Hic1.mouse_C2H2_2	Hic1.mouse	C2H2
KLF13_C2H2_1	KLF13	C2H2
KLF14_C2H2_1	KLF14	C2H2
KLF16_C2H2_1	KLF16	C2H2
Klf12.mouse_C2H2_1	Klf12.mouse	C2H2
PRDM1_C2H2_1	PRDM1	C2H2
SCRT1_C2H2_1	SCRT1	C2H2
SCRT2_C2H2_1	SCRT2	C2H2
SNAI2_C2H2_1	SNAI2	C2H2
SP1_C2H2_1	SP1	C2H2
SP3_C2H2_1	SP3	C2H2
SP4_C2H2_1	SP4	C2H2
SP8_C2H2_1	SP8	C2H2
YY1_C2H2_1	YY1	C2H2
YY2_C2H2_1	YY2	C2H2
YY2_C2H2_2	YY2	C2H2
ZBED1_znf_BED_1	ZBED1	znf
ZBTB7A_C2H2_1	ZBTB7A	C2H2
ZBTB7B_C2H2_1	ZBTB7B	C2H2
ZBTB7C_C2H2_1	ZBTB7C	C2H2
ZIC1_C2H2_1	ZIC1	C2H2
ZIC3_C2H2_1	ZIC3	C2H2
ZIC4_C2H2_1	ZIC4	C2H2
ZNF143_C2H2_1	ZNF143	C2H2
ZNF238_C2H2_1	ZNF238	C2H2
ZNF238_C2H2_2	ZNF238	C2H2
ZNF306_C2H2_1	ZNF306	C2H2
ZNF410_C2H2_1	ZNF410	C2H2
ZNF524_C2H2_1	ZNF524	C2H2
ZNF524_C2H2_2	ZNF524	C2H2
ZNF740_C2H2_1	ZNF740	C2H2
ZNF740_C2H2_2	ZNF740	C2H2
ZNF75A_C2H2_1	ZNF75A	C2H2
ZNF784_C2H2_1	ZNF784	C2H2
ZSCAN4_C2H2_1	ZSCAN4	C2H2
Zfp652.mouse_C2H2_1	Zfp652.mouse	C2H2
Zfp740.mouse_C2H2_1	Zfp740.mouse	C2H2
Zic3.mouse_C2H2_1	Zic3.mouse	C2H2
CENPB_CENPB_1	CENPB	CENPB
GRHL1_CP2_1	GRHL1	CP2
GRHL1_CP2_2	GRHL1	CP2
GRHL1_CP2_3	GRHL1	CP2
TFCP2_CP2_1	TFCP2	CP2
TFCP2_CP2_2	TFCP2	CP2
CUX1_CUT_1	CUX1	CUT
CUX1_CUT_2	CUX1	CUT
CUX1_CUT_3	CUX1	CUT
CUX2_CUT_1	CUX2	CUT
CUX2_CUT_2	CUX2	CUT
ONECUT1_CUT_1	ONECUT1	CUT
ONECUT1_CUT_2	ONECUT1	CUT
ONECUT2_CUT_1	ONECUT2	CUT
ONECUT3_CUT_1	ONECUT3	CUT
E2F2_E2F_1	E2F2	E2F
E2F2_E2F_2	E2F2	E2F
